Drawer,OTUS]UE
Drink (command),TAAHDA^
"Drive - to operate a
vehicle (h/s)",OTYHDA^ KAA[Y
Drive (I),OTYHDA^ AKAA[Y
Drive (we),OTYHDA^ A^KAA[Y
Drive (you),OTYHDA^ TAKAA[Y
"Drive - propel by 
force",WAKAA[Y
Drive (I),AWAKAA[Y
Drive (we),A^WAKAA[Y
Drive (you),WATAKAA[Y
Drum,]EXENYY
Duck,MYXA
Dust Pan,MAA^VO]E YTY]YZE
Eagle,XUTA
Earrings,YY^HDO^
Ears,NAA^HDA
Easel,WAA[U NAA^[Y^
Eat,TAA]E
Eat (command),TAA]A
Eat (I eat; 1st. Person),BAA]E
Egg,HPAADA
Egg (scrambled),HPAADA NYLO^ZE
Eight,HKYEDOOPA
Elephant,NYYDA
Eleven,LEBA^ ALYY^ WY^X]E
English muffin,MYLAVA WA]UE TUUDAHPA
Eraser,WALEZE YPUKXA
Eraser (Pencil),WAPAALEZE WEPUKXA
Eyeglasses,MA^ZE YY^VDA OOLA^
Eyes,YY^VDA
Face,Y^]E
Fall,HDAA^DA^
Fan (traditional eagle fan),YHKUE]Y
Father - mine,Y^HDA]Y
Father - yours,TYTA]E
Father - theirs,YTA]E
Father God,Y^HDA]Y WAHKA^DA
"Feather (top feather; traditional
men's clothing)",XUTA MA^VO^
"Feather (drop feathers; traditional
men's clothing)",WAPUVKE
February,MYY^O^PA WETOO^PA
Feces,Y^LE
Feed; I feed to you,OWYK'U
Felt,HA HYY^
Fence,APAHDA
Fingers,VAAKE OZAPE
Finished (I),BYYVDA^
Finished (you),V]YYVDA^
Fire,HPEE]E
Fire Extinguisher,HPEE]E YDAA[Y
Fish,HO
Five,SAHDA^
Flag,WAHLEHLE
Flamingo,WA[Y^KA [UU]E SKA S]E
Flower,HLAASKA
Flute,OPYXA^
Fold (as to double a shawl or blanket),AHKYLYSDA KAAXA
Foot,SYY
Fork,WAHUHKA
Four,DOOPA
Friday,HAA^PA HDAATAA]A[Y
Friend,YHKOWA
Frog,H]EOK'A
Fruit (a.),HKAA^]E
Fruit (b.),WASKUE
Fruit juice,HKAA^]ENYY or WASKUENYY
Fry bread,WA]UE KAAS]U
Garters (traditional men's clothing),HYO^NYY^
Get,TUUZA
Get (for me),AA^/U
Giraffe,HDAHUS]E
Girl,VY^MY^[Y^
Give; I give to you,WYK'U
Give it back to him/her (command),KYK'U
Glitter,VDAHA[Y^
Glue,WEATASDA
Go (I go; 1st person),BEE
Go (you go; 2nd person),V]EE
Go (he/she goes),TEE
Go; walk,MA^TY^
Go; walk-you all,MA^TY^PY
Good,TAALY^
Good job!,TAALY^ WA[O^E
Gorilla,HEEO]EHDAA^
Grandfather - mine,WYH]YKO
Grandfather - yours,TYH]YKO
Grandfather - theirs,YH]YKO
Grandmother - mine; theirs,YYHKO
Grandmother - yours,TYYHKO
Grape juice,HAAZUNYY
Grapes (green),HAAZU MAA^HY^ HDOHO
Grapes (purple),HAAZU
Grasshopper,HDAHDAZE
Gravy,LY^KO
Gravy (sausage gravy),HKOHKOSA HDA TYLO[E LY^KO
Gray,XO]E
Grease,WELY
Green,MAA^HY^ HDOHO
"Guitar, banjo, etc.",WATYKY]E
Hand,VAAKE
Have (v.; 1st person),ABY^
