Numbers,WATAAWA
Oatmeal,WEVY
Odor (offensive odor),Xo
Odor (sour body odor),[A^XDA
One,WY^X]Y
Open,TYYVUPE
Open; command,TYYVUPA
Orange (color),ZY [UU]E EKO^
Orange (fruit),HKAA^]E ZY
Orange juice,HKAA^]EZYNYY
Orange; some orange slices,HKAA^]E ZY HEPE DOE
Orange wedge,HKAA^]E ZY HEPE WY^
Osage,WA[A[E
Osage Language,WA[A[EYE
Otter,HDONAA^KE
Otter hide (traditional men's clothing),HDONA^KE
Our School (WELA Immersion),DAAPOSKA A^KOHDAPY
Outside ,AVYHDA
Oval,S]UHKA
Paint,SDAATE
Paint Brush,WESDAATE
"Painting Apron, Coat
Vest",SDAATE AKAHAMY
Painting Clothes,SDAATE O/ULA^
Pancake,WA]UE BEHKA
Panda,MYHEKA EENA TAA]E
Pantry,WANO^BE OO[U
Paper (blank),HDANA^K'A
Paper (with writing),WALEZE
Parrot,WA[Y^KAYE
Peach,HKAA^]E HY^
Peaches diced,HKAA^]E HY^ PASASA
Pear,HKAA^]E HPA ALA
Pedal (a),WENAA^HDAA^TA
Pedal (I),ANAA^HDAA^TA
Pedal (we),A^NAA^HDAA^TA
Pedal (you),TANAA^HDAA^TA
Pedal (h/s),NAA^HDAA^TA
Pen/Pencil,WAPAALEZE
Penguin,WA[Y^HDAA^ NA^XE AMA^TY^
Picture,Y^]E WALEZE
Piece; part of a whole ,HEPE
"Pins (silver pins; traditional women's
clothing)",WAPAXA
Plate,HYY^]E
Play; verb,VKA]E
Play (command),VKA]A
Play ball,HDAAPEVKA]E
Plural Suffix,(A)PY
Point to; or point at,APAZO
Possessive pronoun (mine) ,WYHDA
Possessive pronoun (yours),TYHDA
Possessive pronoun (theirs),YHDA
Possessive pronoun (ours),A^KOHDAPY
Potato(es),DOOSKA
Potato wedges; piece of a potato,DOOSKA HEPE
Pretty,ODAZA
Purple,HAAZU
Put in (verb),OO[U
Puzzle (a),NAA^TY^
Puzzle with pieces,Y^]E WALEZE NAA^TY^
Rabbit,MA^V]Y^KA
Radio,WEHY]E ANA^K'O^
Rain (weather),NYY[U
Rainbow,HDONYLE
Rain coat,NYY[U AKAHAMY
Raise; v.,PAAHA^
Raise hands,VAAKE PAAHA^
Raise hands (everyone),VAAKE PAAHA^PY
Raise hands (you),VAAKE PAAHA^TY
Ready; stative verb,HAHA
Ready (we are ready),HAHAA^KYTE
Rectangle,PAAXO DOOPA S]EE
Red,[UU]E
Refrigerator,NA^XEOO[U
"Returned; Came back
(v. 1st-person)",ALY
"Returned; Came back
(v. 2nd-person)",TALY
"Returned; Came back
(v. 3rd-person)",(A)LY
"Returned; Came back
(v. Plural; ""we"")",A^KALY
"Ribbon (drop; traditional women's
clothing)",HAABEHKA
Roach (traditional men's clothing),HDAASY^]E
"Roach spreader (traditional men's 
clothing)",HDAASY^]E WAHU
Rocking Chair,ALYY^SO^SO^TA
Room (a room in a house),H]YOHKA
Rug,ANAA^HKOE OMY[E
Sand,HPUZE
Sausage,HKOHKOSA HDAA TYLO[E
Say,EKYE
Say it again; repeat,VY EKYA
"Say so, to tell",OTAAKE
"Say it, tell it; command",OTAAKA
Scarf (traditional men's clothing),HAASKA WANO^P'Y
Scattered,TEEKE
School,DAAPOSKA
Scissors,HPAHUUSE
Seal,VO^KE AAHU ATY^
See (he/she sees it),YYTE
See (I see),YYTATE (bold symbols are accented)
See (you see?),YYTATE (bold symbols are accented)
Shawl (traditional clothing),HAASKAMY^
Sheep,HDAASKA
Shelves,WAA[U
