Date Last Modified:,12/16/2016
A; an; the,WY^
A lot,WALY
Action; imminent future,ADXA^HE
Airplane,KYY^
All; everyone,ZAANY
Alligator,YHAAHDAA^
Also; too,VKY
Animals,WA]UHDA
Another one,E[Y WY^
Apple,HKAA^]E
Apple juice,HKAA^]ENYY
Apple sauce,HKAA^]E WASKUE
"Apple wedge; piece, or part of an apple",HKAA^]E HEPE
Apricot,HKAA^]E ZY [Y^
April,MYY^O^PA WEDOOPA
Apron (for painting),SDATE AKAHAMY
Are you hungry?,NO^HPETYHY
Are you listening?,ATANAK'O^ NY^KVE
Are you okay?,DA^HE TaVE 
Are you sleepy?,YY^VDAHAA TY]'OKA NY^KVE
Are you thirsty?,YTYPUZE
Arm,AA
Arm bands (traditional clothing),AAPYOLA^
Arrived (v. 1st-Person; male/female),A]Y/A]YE
Arrived (v. 2nd-Person),TA]Y
Arrived (v. 3rd-Person),(A)]Y
"Arrived (v. Plural - two;
""we"")",A^KA]Y
"Arrived (v. Plural - more
than two; ""we"")",A^KA]YPE
August,MYY^O^PA HKYEDOOPA
Baby,HPAADA[Y^
Baby Bed,HPAA[Y^ A[A^
Baby bottle,HPAA[Y^ OO[U
Baby food,HPAADA[Y^ ONO^BE
Back,NA^HKA
Bacon,WAVY^
Bad,HPYY[Y
